System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,conv2d_real,1,1126,1061,0,65,875,0,0,160,342,135,207,0.978ns,
aetherling_copies,conv2d_real,2,565,532,0,33,523,0,0,80,187,76,111,0.641ns,
aetherling_copies,conv2d_real,48,155,134,16,5,263,0,0,4,63,35,28,1.542ns,
aetherling_copies,conv2d_real,4,284,267,0,17,307,0,0,40,107,49,58,1.148ns,
aetherling_copies,conv2d_real,8,180,139,32,9,175,0,0,20,69,28,41,1.665ns,
aetherling_copies,map,100,21,13,0,8,37,0,0,0,8,4,4,2.886ns,
aetherling_copies,map,10,201,121,0,80,325,0,0,0,73,38,35,2.765ns,
aetherling_copies,map,1,2001,1201,0,800,3205,0,0,0,675,344,331,2.505ns,
aetherling_copies,map,200,11,7,0,4,21,0,0,0,6,3,3,2.930ns,
aetherling_copies,map,20,101,61,0,40,165,0,0,0,35,15,20,2.933ns,
aetherling_copies,map,25,81,49,0,32,133,0,0,0,28,11,17,2.819ns,
aetherling_copies,map,40,51,31,0,20,85,0,0,0,19,9,10,2.928ns,
aetherling_copies,map,50,41,25,0,16,69,0,0,0,15,7,8,2.886ns,
aetherling_copies,map,5,401,241,0,160,645,0,0,0,137,66,71,2.737ns,
aetherling_copies,pyramid,1,274,255,0,19,400,0,0,0,109,69,40,0.672ns,
aetherling_copies,pyramid,27,51,44,0,7,80,0,0,0,24,17,7,1.884ns,
aetherling_copies,pyramid,3,91,84,0,7,136,0,0,0,36,27,9,1.687ns,
aetherling_copies,pyramid,81,127,118,0,9,201,0,0,0,53,32,21,1.634ns,
aetherling_copies,pyramid,9,48,41,0,7,74,0,0,0,19,10,9,1.817ns,
aetherling_copies,sharpen_real,144,244,196,48,0,317,0,0,3,112,68,44,1.594ns,
aetherling_copies,sharpen_real,16,154,121,32,1,177,0,0,11,66,32,34,1.593ns,
aetherling_copies,sharpen_real,1,1917,1660,256,1,1447,0,0,176,658,348,310,0.306ns,
aetherling_copies,sharpen_real,2,965,836,128,1,815,0,0,88,356,171,185,0.433ns,
aetherling_copies,sharpen_real,48,216,184,32,0,309,0,0,5,95,51,44,1.936ns,
aetherling_copies,sharpen_real,4,490,425,64,1,459,0,0,44,188,85,103,1.244ns,
aetherling_copies,sharpen_real,8,287,222,64,1,257,0,0,22,104,51,53,1.742ns,
aetherling_copies,sharpen,144,233,193,40,0,294,0,0,0,89,52,37,-0.080ns,
aetherling_copies,sharpen,16,120,96,24,0,139,0,0,0,40,23,17,-0.137ns,
aetherling_copies,sharpen,1,1477,1349,128,0,1023,0,0,0,457,325,132,-0.718ns,
aetherling_copies,sharpen,2,742,678,64,0,599,0,0,0,234,145,89,-0.767ns,
aetherling_copies,sharpen,48,212,188,24,0,279,0,0,0,87,54,33,-0.094ns,
aetherling_copies,sharpen,4,375,343,32,0,347,0,0,0,135,78,57,-0.330ns,
aetherling_copies,sharpen,8,227,179,48,0,195,0,0,0,78,43,35,0.117ns,
aetherling_copies,single_map,1,77,44,0,33,66,0,0,0,27,12,15,1.259ns,
aetherling_copies,single_map,2,39,22,0,17,34,0,0,0,14,9,5,1.108ns,
aetherling_copies,single_map,4,20,11,0,9,18,0,0,0,9,4,5,1.273ns,
aetherling_copies,tuple_div,16,14,5,0,9,45,0,0,1,10,3,7,3.544ns,
aetherling_copies,tuple_div,1,63,58,0,5,90,0,0,8,34,17,17,3.969ns,
aetherling_copies,tuple_div,2,51,46,0,5,77,0,0,4,24,8,16,3.323ns,
